Event.ID,Disease,Serotype,Region,Subregion,Country,Admin.level.1,Locality,Latitude,Longitude,Diagnosis.source,Diagnosis.status,Animal.type,Species,Observation.date..dd.mm.yyyy.,Report.date..dd.mm.yyyy.,Humans.affected,Human.deaths
334848,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Vlaams Gewest,Zonhoven,50.982835,5.32784,OIE,Confirmed,Wild,Greylag Goose:anser Anser(Anatidae),22/10/2022,07/11/2022,,
334851,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Vlaams Gewest,Heusden,51.039774,3.828627,OIE,Confirmed,Wild,Canada Goose:branta Canadensis(Anatidae),22/10/2022,07/11/2022,,
335077,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Dunkirk  Norfolk,52.8,1.26,OIE,Confirmed,Wild,Greylag Goose:anser Anser(Anatidae),22/10/2022,04/11/2022,,
335078,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Brettenham  Suffolk,52.13,0.85,OIE,Confirmed,Wild,Phasianus Colchicus (Common Pheasant) - Phasanidae,22/10/2022,04/11/2022,,
335078,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Brettenham  Suffolk,52.13,0.85,OIE,Confirmed,Wild,Tawny Owl (Strix Aluco),22/10/2022,04/11/2022,,
335290,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Sweden,Skaane Laen,Smedtorp,55.56367,14.107002,OIE,Confirmed,Wild,Buzzard,22/10/2022,14/11/2022,,
335074,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Avon  Hampshire,50.79,-1.78,OIE,Confirmed,Wild,Canada Goose:branta Canadensis(Anatidae),21/10/2022,04/11/2022,,
335075,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Minster-on-Sea  Kent,51.37,0.82,OIE,Confirmed,Wild,Canada Goose:branta Canadensis(Anatidae),21/10/2022,04/11/2022,,
335175,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,Wales,Bodorgan  Anglesey,53.18,-4.43,OIE,Confirmed,Wild,Phasianus Colchicus (Common Pheasant) - Phasanidae,21/10/2022,04/11/2022,,
335176,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,Wales,Llaneilian  Anglesey,53.38,-4.29,OIE,Confirmed,Wild,Phasianus Colchicus (Common Pheasant) - Phasanidae,21/10/2022,04/11/2022,,
