"","species","freq","class","order","family","genus"
"380","Stercorarius parasiticus","3","Aves","Charadriiformes","Stercorariidae","Stercorarius"
"381","Stercorarius skua","33","Aves","Charadriiformes","Stercorariidae","Stercorarius"
"382","Sterna dougallii","2","Aves","Charadriiformes","Laridae","Sterna"
"383","Sterna hirundo","126","Aves","Charadriiformes","Laridae","Sterna"
"384","Sterna paradisaea","15","Aves","Charadriiformes","Laridae","Sterna"
"385","Sternula albifrons","3","Aves","Charadriiformes","Laridae","Sternula"
"386","Stork","47","Aves","Ciconiiformes","Ciconiidae",""
"387","Streptopelia decaocto","8","Aves","Columbiformes","Columbidae","Streptopelia"
"388","Streptopelia turtur","1","Aves","Columbiformes","Columbidae","Streptopelia"
"389","Strigidae","41","Aves","Strigiformes","Strigidae",NA
"390","Strigidae","22","Aves","Strigiformes","Strigidae",NA
"391","Strigiformes","1","Aves","Strigiformes",NA,NA
"392","Strix aluco","17","Aves","Strigiformes","Strigidae","Strix"
"393","Strix uralensis","1","Aves","Strigiformes","Strigidae","Strix"
"394","Struthionidae","1","Aves","Struthioniformes","Struthionidae",NA
"395","Sturnus vulgaris","2","Aves","Passeriformes","Sturnidae","Sturnus"
"396","Sulidae","28","Aves","Suliformes","Sulidae",NA
"397","Sulids","23","Aves","Suliformes","Sulidae",""
"398","Swallow","1","Aves","Passeriformes","Hirundinidae",""
"399","Swan","540","Aves","Anseriformes","Anatidae","Cygnus"
"400","Swift Tern","1","Aves","Charadriiformes","Laridea","Thalasseus"
"401","Syrmaticus reevesii","1","Aves","Galliformes","Phasianidae","Syrmaticus"
"402","Tachybaptus ruficollis","8","Aves","Podicipediformes","Podicipedidae","Tachybaptus"
"403","Tadorna tadorna","14","Aves","Anseriformes","Anatidae","Tadorna"
"404","Taeniopygia guttata","1","Aves","Passeriformes","Estrildidae","Taeniopygia"
"405","Tawny Owl","4","Aves","Strigiformes","Strigidae","Strix"
"406","Teal","27","Aves","Anseriformes","Anatidae","Anas"
"407","Tern","5","Aves","Charadriiformes","Laridea",""
"408","Thalasseus sandvicensis","74","Aves","Charadriiformes","Laridae","Thalasseus"
"409","Threskiornithidae","5","Aves","Pelecaniformes","Threskiornithidae",NA
"410","Threskiornithidae","2","Aves","Pelecaniformes","Threskiornithidae",NA
"411","Thrush","2","Aves","Passeriformes","Turdidae",""
"412","Tringa ochropus","2","Aves","Charadriiformes","Scolopacidae","Tringa"
"413","Tringa totanus","1","Aves","Charadriiformes","Scolopacidae","Tringa"
